"221Addie_GranddadandPops" "221Addie_TheSlap" "AMAZINGmadness_Alike" "AMAZINGmadness_ItMayBeRage" "AmbiguousMorals_CapturedInaPrecariousSituation" "AmbiguousMorals_TwoYearsLater" "EventHorizon_InFineSpirits" "EventHorizon_NotQuiteaCountryHoliday" "Lizard501_TheCollegeDays" "Lizard501_TheForger" "okapi_Bees&OtherStories" "okapi_Cheers" "okapi_FromthePenofInkyQuill"
"it" 1.15551786282201 1.17847508164135 1.34477058481884 0 1.28194726166329 1.35831734206269 1.42822418479262 1.49071094404933 0.976995171826186 0.734299516908213 1.19364523696654 1.14112095882164 1.05740510606754
"was" 1.30393300116612 1.35595626863552 1.69473856647158 0 1.78498985801217 1.94529104112579 1.18073407334841 1.30614673192893 0.84635046861687 0.946859903381642 1.07817039224981 0.986404558883242 0.900429502692568
"in" 1.08131029364995 1.11458185432344 1.42816721023396 0 1.20892494929006 1.15137148662377 1.14537834314209 1.07696260039482 1.15876171542176 1.46859903381643 1.29331826082729 1.09981658055754 1.25144439357272
"for" 0.795081098272024 0.773817975294619 0.606114759713473 0 0.811359026369168 0.824020769838582 1.1129689237863 0.89915898212499 0.670264129508662 0.63768115942029 0.821694684510569 0.591562705646799 0.697669348333224
"t" 0.964698399236722 1.21397131904018 0.921830555927862 0.0547585149490746 0.632860040567951 0.771343642999586 0.758675044010518 0.728115957705725 0.556660039761431 0.908212560386473 0.520244563565863 0.678371907422187 0.31177099003641
"with" 0.689070285169087 0.631833025699276 0.67461913059018 0 0.754563894523327 0.925612371599503 0.763094510286308 0.707158116768977 0.710025560920193 0.811594202898551 0.601684717208183 0.625166267624368 0.741273682604051
"not" 0.339234601929397 0.475649581144399 0.530164261567559 0 0.511156186612576 0.406366407043684 0.864742234629465 0.979610048946699 0.352172678216416 0.173913043478261 0.605331291251869 0.438946528332003 0.521071794536377
"as" 0.805682179582317 0.582138293340906 0.637388494244144 0.0109517029898149 0.77079107505071 0.696090604658163 0.621671589461046 0.570594120987588 1.27236580516899 1.44927536231884 0.705004315112618 0.622365970792904 0.699849565046766
"sherlock" 0.159016219654405 0.59633678830044 1.21222951942695 0.733764100317599 2.19878296146045 1.21909922113105 0.338089170097891 0.498931826171611 0 0 0.083871203004777 1.17332437238347 0.0479647676979092
"mycroft" 1.25092759461465 1.51923896067017 0.186153181730182 0.0657102179388895 1.60649087221095 1.33197877864319 0.671022296207361 0.934314070147922 0 0 0.0364657404368596 0.846389717310035 0.00436043342708265
"on" 0.466447577652921 0.425954848786029 0.753548079643777 0.0876136239185193 0.62474645030426 0.767580991082515 0.592208480955783 0.540847508045107 0.823629650667424 0.695652173913043 0.589529470395896 0.688172946332311 0.545054178385332
"but" 0.625463797307325 0.560840550901604 0.443789185244754 0.00547585149490746 0.519269776876268 0.583211047146029 0.766040821136834 0.643608534573677 0.278330019880716 0.347826086956522 0.731745858099649 0.554458772629899 0.606100246364489
"is" 0.519452984204389 0.418855601306262 0.15339022174567 0 0.332657200811359 0.225759115024269 0.945029205306306 0.768003461424052 0.323771655779608 0.173913043478261 0.634503883601357 0.417944302096022 0.627902413499902
"at" 0.678469203858794 0.454351838705097 0.646323846967192 0 0.478701825557809 0.575685743311886 0.564218527875784 0.506368479407231 0.95427435387674 0.927536231884058 0.567650026133781 0.477450609764635 0.64098371378115
"be" 0.413442171101452 0.567939798381372 0.387198617998779 0 0.365111561866126 0.406366407043684 0.704168293275782 0.782200708510235 0.590741266685601 0.386473429951691 0.425433638430028 0.315733467747581 0.370636841302025
"my" 0.296830276688222 0.440153343745563 0.0551013417921339 0 0.324543610547667 0.188132595853558 0.494243645175784 0.347494523918981 0.249928997443908 0.0579710144927536 1.27994748933377 0.473950238725305 1.14679399132274
"him" 0.371037845860278 0.922902172369729 1.8391934354942 0 0.446247464503043 0.790156902584942 0.433844272739995 0.35695935530977 0.448736154501562 0.618357487922705 0.328191663931736 0.303832206213859 0.196219504218719
"had" 0.625463797307325 1.07908561692461 1.07373155221969 0 0.600405679513185 0.808970162170298 0.419849296199996 0.468509153844074 0.386253905140585 0.502415458937198 0.419356015023885 0.25062656641604 0.292149039614538
"have" 0.307431357998516 0.4969473235837 0.329118825298962 0 0.454361054766734 0.353689280204688 0.643768920839993 0.638200059493226 0.414654927577393 0.367149758454106 0.367088453731053 0.24012545329805 0.270346872479124
"so" 0.487649740273508 0.34786312650859 0.464638341598535 0 0.389452332657201 0.413891710877827 0.485404712624205 0.496227588631385 0.204487361545016 0.289855072463768 0.292941448176105 0.296131389927332 0.366276407874943
"what" 0.371037845860278 0.34786312650859 0.385709392544937 0 0.405679513184584 0.402603755126613 0.453731870981048 0.46918521322913 0.357852882703777 0.367149758454106 0.336700336700337 0.359138068635275 0.274707305906207
"your" 0.243824870136754 0.340763879028823 0.0953104290458533 0 0.300202839756592 0.176844640102344 0.589262170105257 0.412396224884394 0.465776767963647 0.193236714975845 0.391398947355626 0.410243485809496 0.318311640177034
"this" 0.307431357998516 0.24847366179185 0.5316534870214 0 0.494929006085193 0.349926628287617 0.437527161303153 0.390086265177533 0.340812269241693 0.405797101449275 0.351286632875081 0.33533554556783 0.318311640177034
"me" 0.296830276688222 0.489848076103933 0.195088534453231 0.060234366443982 0.340770791075051 0.267148286112052 0.396278809395785 0.225127775223776 0.142005112184039 0.135265700483092 0.573727649539924 0.477450609764635 0.457845509843678
"one" 0.34983568323969 0.276870651710919 0.247211425337682 0 0.227180527383367 0.237047070775483 0.391859343119996 0.373184780551124 0.272649815393354 0.830917874396135 0.380459225224568 0.369639181753266 0.438223559421807
"her" 1.335736245097 0.69572625301718 0.186153181730182 0 0.0162271805273834 0.982052150355571 0.190773627571577 0.0993807296032884 0.32945186026697 0.21256038647343 0.227303115389758 0.823987342658322 0.185318420651013
"we" 0.43464433372204 0.177481186994179 0.0804181745074387 0 0.129817444219067 0.176844640102344 0.276216642236839 0.718651126314936 0.25560920193127 0.21256038647343 0.31603641711945 0.227524117556461 0.289968822900996
"they" 0.625463797307325 0.340763879028823 0.250189876245365 0 0.348884381338742 0.237047070775483 0.32335761584526 0.468509153844074 0.204487361545016 0.502415458937198 0.262553331145389 0.317133616163313 0.285608389473914
"then" 0.23322378882646 0.184580434473946 0.126584163576524 0 0.283975659229209 0.308537457199834 0.201822293261051 0.283268882338625 0.0852030673104232 0.0579710144927536 0.368303978412282 0.608364486635583 0.289968822900996
"do" 0.339234601929397 0.326565384069289 0.221894592622377 0 0.300202839756592 0.252097678443767 0.424268762475785 0.459044322453284 0.198807157057654 0.115942028985507 0.212716819215014 0.24012545329805 0.259445788911418
"from" 0.254425951447048 0.312366889109754 0.418472352529449 0 0.300202839756592 0.372502539790044 0.26737770968526 0.286649179263907 0.47713717693837 0.405797101449275 0.334269287337879 0.240825527505916 0.396799441864521
"greg" 0.943496236616135 1.37725401107483 0 0 0 0 0.570847727289468 0.716622948159766 0 0 0 0.0392041556404979 0
"no" 0.307431357998516 0.191679681953713 0.274017483506828 0 0.292089249492901 0.270910938029123 0.288001885638944 0.301522485735147 0.170406134620846 0.251207729468599 0.37924370054334 0.308032651461055 0.374997274729108
"john" 0.0848086504823492 0.177481186994179 0.358903334375791 0 0.0324543610547667 0 0.163520252204209 0 0 0 0.0133707714935152 1.1418210330295 0.00218021671354133
"if" 0.23322378882646 0.29816839415022 0.190620858091707 0 0.267748478701826 0.184369943936486 0.438263739015785 0.428621650125747 0.346492473729054 0.347826086956522 0.224872066027301 0.203721594489016 0.170056903656223
"or" 0.0954097317926429 0.0922902172369729 0.147433319930304 0.0109517029898149 0.219066937119675 0.169319336268202 0.403644586522101 0.396846859028097 0.232888383981823 0.0966183574879227 0.269846479232761 0.186919813500231 0.242004055203087
"would" 0.275628114067635 0.39755785886696 0.215937690807011 0 0.438133874239351 0.364977235955902 0.346191524936838 0.419156818734958 0.215847770519739 0.115942028985507 0.19813052304027 0.143515212612537 0.161336036802058
"she" 0.964698399236722 0.560840550901604 0.137008741753414 0 0.0162271805273834 0.52300861647289 0.178988384169472 0.121690689310149 0.261289406418631 0.0966183574879227 0.295372497538563 0.542557511096176 0.106830618963525
"when" 0.339234601929397 0.461451086184864 0.189131632637865 0 0.332657200811359 0.285961545697408 0.301996862178944 0.259606803861651 0.181766543595569 0.193236714975845 0.301450120944706 0.263227902157629 0.305230339895786
"like" 0.254425951447048 0.184580434473946 0.260614454422255 0 0.170385395537525 0.237047070775483 0.236441445754734 0.256226506936369 0.232888383981823 0.21256038647343 0.275924102638904 0.371739404376864 0.233283188348922
"all" 0.392240008480865 0.205878176913247 0.472084468867742 0 0.348884381338742 0.252097678443767 0.223919624639998 0.231212309689283 0.244248792956546 0.405797101449275 0.266199905189075 0.249226418000308 0.307410556609327
"there" 0.243824870136754 0.24847366179185 0.180196279914816 0 0.235294117647059 0.263385634194981 0.259275354846313 0.335325454987966 0.2215279750071 0.270531400966184 0.296588022219791 0.236625082258719 0.250724922057252
"an" 0.212021626205873 0.227175919352549 0.201045436268597 0.00547585149490746 0.308316430020284 0.267148286112052 0.283582419363155 0.283268882338625 0.232888383981823 0.193236714975845 0.319682991163136 0.226123969140729 0.298689689755162
